ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-07-13,113.1054,103.8119805630161,141.0816358748278,113.1054,113.1054,10.416685485041915,10.416685485041915,10.416685485041915,3.269522343397578,3.269522343397578,3.269522343397578,7.147163141644336,7.147163141644336,7.147163141644336,0.0,0.0,0.0,123.52208548504191
2022-07-15,113.17323492063491,105.89719559265895,144.6828996504126,113.17323492063491,113.17323492063491,12.275287837858494,12.275287837858494,12.275287837858494,3.4712461141187068,3.4712461141187068,3.4712461141187068,8.804041723739786,8.804041723739786,8.804041723739786,0.0,0.0,0.0,125.44852275849341
2022-07-18,113.27498730158729,104.12367322208955,142.51350622894597,113.27498730158729,113.27498730158729,10.459297815470435,10.459297815470435,10.459297815470435,-0.41008393995018294,-0.41008393995018294,-0.41008393995018294,10.869381755420617,10.869381755420617,10.869381755420617,0.0,0.0,0.0,123.73428511705772
2022-07-20,113.34282222222222,110.27306736652226,147.48535327332888,113.34282222222222,113.34282222222222,15.070692311814604,15.070692311814604,15.070692311814604,3.2695223433927847,3.2695223433927847,3.2695223433927847,11.80116996842182,11.80116996842182,11.80116996842182,0.0,0.0,0.0,128.41351453403684
2022-07-29,113.64807936507937,107.95608084358894,146.3434972901975,113.64807936507937,113.64807936507937,13.683956826274418,13.683956826274418,13.683956826274418,3.4712461141255186,3.4712461141255186,3.4712461141255186,10.212710712148901,10.212710712148901,10.212710712148901,0.0,0.0,0.0,127.33203619135378
2022-08-01,113.74983174603175,102.39382447603121,140.56076600660222,113.74983174603175,113.74983174603175,7.567190007114758,7.567190007114758,7.567190007114758,-0.41008393993957765,-0.41008393993957765,-0.41008393993957765,7.977273947054334,7.977273947054334,7.977273947054334,0.0,0.0,0.0,121.3170217531465
2022-08-03,113.81766666666667,103.76361521024678,142.47322991178342,113.81766666666667,113.81766666666667,9.587217408149423,9.587217408149423,9.587217408149423,3.269522343389073,3.269522343389073,3.269522343389073,6.317695064760348,6.317695064760348,6.317695064760348,0.0,0.0,0.0,123.4048840748161
2022-08-05,113.88550158730159,102.87785582515237,141.5693815475276,113.88550158730159,113.88550158730159,8.15105656789596,8.15105656789596,8.15105656789596,3.4712461141023088,3.4712461141023088,3.4712461141023088,4.679810453793651,4.679810453793651,4.679810453793651,0.0,0.0,0.0,122.03655815519755
2022-08-08,113.98725396825398,96.96508735009155,134.6868121332465,113.98725396825398,113.98725396825398,2.119082460739474,2.119082460739474,2.119082460739474,-0.4100839399524043,-0.4100839399524043,-0.4100839399524043,2.529166400691878,2.529166400691878,2.529166400691878,0.0,0.0,0.0,116.10633642899346
2022-08-10,114.0550888828124,98.99956318965548,138.68691957776625,114.0550888828124,114.0550888828124,4.703305806055836,4.703305806055836,4.703305806055836,3.269522343390588,3.269522343390588,3.269522343390588,1.4337834626652481,1.4337834626652481,1.4337834626652481,0.0,0.0,0.0,118.75839468886824
2022-08-12,114.12292379737082,98.5663435832515,137.4235171386073,114.12292379737082,114.12292379737082,4.139784929228601,4.139784929228601,4.139784929228601,3.4712461141118047,3.4712461141118047,3.4712461141118047,0.6685388151167971,0.6685388151167971,0.6685388151167971,0.0,0.0,0.0,118.26270872659941
2022-08-15,114.22467616920842,95.47836449788399,133.72417568758948,114.22467616920842,114.22467616920842,-0.27436486842270064,-0.27436486842270064,-0.27436486842270064,-0.41008393992897213,-0.41008393992897213,-0.41008393992897213,0.13571907150627158,0.13571907150627158,0.13571907150627158,0.0,0.0,0.0,113.95031130078573
2022-08-17,114.29251108376684,97.86557384473602,136.53737131767969,114.29251108376684,114.29251108376684,3.3898298007451464,3.3898298007451464,3.3898298007451464,3.269522343392102,3.269522343392102,3.269522343392102,0.1203074573530441,0.1203074573530441,0.1203074573530441,0.0,0.0,0.0,117.68234088451199
2022-08-19,114.36034599832526,99.89418648974275,137.2925987074157,114.36034599832526,114.36034599832526,3.7468500727783427,3.7468500727783427,3.7468500727783427,3.47124611410912,3.47124611410912,3.47124611410912,0.27560395866922216,0.27560395866922216,0.27560395866922216,0.0,0.0,0.0,118.1071960711036
2022-08-22,114.46209837016286,95.63501467347574,133.32595263400697,114.46209837016286,114.46209837016286,0.17083439889208868,0.17083439889208868,0.17083439889208868,-0.41008393994827397,-0.41008393994827397,-0.41008393994827397,0.5809183388403628,0.5809183388403628,0.5809183388403628,0.0,0.0,0.0,114.63293276905495
2022-08-29,114.69952057111732,94.47048576810346,132.5511059747394,114.69952057111732,114.69952057111732,-0.686094048521357,-0.686094048521357,-0.686094048521357,-0.41008393992484227,-0.41008393992484227,-0.41008393992484227,-0.276010108596515,-0.276010108596515,-0.276010108596515,0.0,0.0,0.0,114.01342652259596
2022-08-31,114.76735548567572,96.94337745294673,133.9052621559356,114.76735548567572,114.76735548567572,2.0417159578466086,2.0417159578466086,2.0417159578466086,3.2695223433888225,3.2695223433888225,3.2695223433888225,-1.227806385542214,-1.227806385542214,-1.227806385542214,0.0,0.0,0.0,116.80907144352233
2022-09-02,114.83519038958244,97.0621931040505,135.6338596226821,114.83519038958244,114.83519038958244,0.9781644082529364,0.9781644082529364,0.9781644082529364,3.471246114124277,3.471246114124277,3.471246114124277,-2.49308170587134,-2.49308170587134,-2.49308170587134,0.0,0.0,0.0,115.81335479783537
